zone,tree_count
PARIS 2E ARRDT,548
PARIS 9E ARRDT,1167
PARIS 3E ARRDT,1209
PARIS 1ER ARRDT,1413
PARIS 6E ARRDT,1766
PARIS 5E ARRDT,2403
PARIS 4E ARRDT,2740
PARIS 10E ARRDT,3386
BOIS DE BOULOGNE,3983
HAUTS-DE-SEINE,5299
PARIS 11E ARRDT,5663
PARIS 8E ARRDT,7247
VAL-DE-MARNE,7581
PARIS 7E ARRDT,8689
PARIS 18E ARRDT,10025
PARIS 17E ARRDT,10764
PARIS 14E ARRDT,11423
BOIS DE VINCENNES,11512
SEINE-SAINT-DENIS,11574
PARIS 12E ARRDT,12602
PARIS 19E ARRDT,13723
PARIS 20E ARRDT,15341
PARIS 16E ARRDT,16406
PARIS 13E ARRDT,16714
PARIS 15E ARRDT,17156